city_id;city_abbr;city_name;communiy_id;community_name;location;unit_price;price_date;longitude;latitude;hier1;hier2;hier3;hier4;hier5;age;structure;management_fee;management_co;developer;building_amount;house_amount;url
440100;gz;广州;2120031803602654;流溪河山庄;(从化神岗镇)防汛路流溪河山庄;9266;2月参考均价;113.56177610175;23.521891494348;链家网广州站;广州小区;从化小区;神岗镇小区;流溪河山庄;暂无信息;未知类型;暂无信息;业主自筹物业;暂无信息;14栋;193户;https://gz.lianjia.com/xiaoqu/2120031803602654/
440100;gz;广州;2111103318428;缝纫机厂宿舍;(海珠新港西)新港西路缝纫机厂宿舍;21535;2月参考均价;113.298578;23.09442;链家网广州站;广州小区;海珠小区;新港西小区;缝纫机厂宿舍;1985年建成;塔楼;0.5元/平米/月;业主自筹物业;无开发商;25栋;622户;https://gz.lianjia.com/xiaoqu/2111103318428/
440100;gz;广州;2111103316911;金迪大厦;(越秀杨箕)泰兴直街50号;45453;2月参考均价;113.318282;23.133944;链家网广州站;广州小区;越秀小区;杨箕小区;金迪大厦;2002年建成;塔楼;1.3元/平米/月;广州市金迪物业管理有限公司;广东省信托房产开发公司;2栋;500户;https://gz.lianjia.com/xiaoqu/2111103316911/
440100;gz;广州;2110343238860906;省农科院西区;(天河五山)茶山路;42141;2月参考均价;113.355378;23.152786;链家网广州站;广州小区;天河小区;五山小区;省农科院西区;1988年建成;塔楼/板楼;0.65元/平米/月;单位代管物业;无开发商;32栋;755户;https://gz.lianjia.com/xiaoqu/2110343238860906/
440100;gz;广州;2111103317289;德丰园;(番禺市桥)德兴路419号;23346;2月参考均价;113.384514;22.935046;链家网广州站;广州小区;番禺小区;市桥小区;德丰园;1995年建成;塔楼;0.5元/平米/月;德丰园管理处;无开发商;16栋;192户;https://gz.lianjia.com/xiaoqu/2111103317289/
440100;gz;广州;2110343238860972;江丽苑(番禺区);(番禺市桥)解放路江丽苑;18348;2月参考均价;113.362861;22.940598;链家网广州站;广州小区;番禺小区;市桥小区;江丽苑(番禺区);1996年建成;塔楼;0.8元/平米/月;广州市华勤物业管理有限公司;广州市银联房地产开发有限公司;8栋;252户;https://gz.lianjia.com/xiaoqu/2110343238860972/
440100;gz;广州;2111950142270774;星海国际;(番禺市桥)坑口路100号;12714;2月参考均价;113.379092;22.949684;链家网广州站;广州小区;番禺小区;市桥小区;星海国际;2015年建成;塔楼;3元/平米/月;暂无信息;暂无信息;1栋;216户;https://gz.lianjia.com/xiaoqu/2111950142270774/
440100;gz;广州;2114377698472424;金山谷尚层;(番禺金山谷)东艺路130号;31838;2月参考均价;113.352746;22.982622;链家网广州站;广州小区;番禺小区;金山谷小区;金山谷尚层;2014年建成;塔楼/板楼;2.8元/平米/月;招商局物业管理有限公司广州分公司;暂无信息;16栋;1562户;https://gz.lianjia.com/xiaoqu/2114377698472424/
440100;gz;广州;2111103318503;交通综合大楼;(番禺市桥)西环路交通综合大楼;15508;2月参考均价;113.358881;22.957695;链家网广州站;广州小区;番禺小区;市桥小区;交通综合大楼;1997年建成;塔楼;暂无信息;无物业管理服务;无开发商;7栋;98户;https://gz.lianjia.com/xiaoqu/2111103318503/
440100;gz;广州;219710092431553;大东路;(番禺市桥)大东路;14841;2月参考均价;113.372441;22.942458;链家网广州站;广州小区;番禺小区;市桥小区;大东路;暂无信息;塔楼/板楼;暂无信息;无物业管理服务;无开发商;25栋;275户;https://gz.lianjia.com/xiaoqu/219710092431553/
440100;gz;广州;2110343238599343;祈福新村倚湖湾倚湖街;(番禺祈福新村)市广路祈福新村倚湖湾倚湖街;30187;2月参考均价;113.340183;22.959839;链家网广州站;广州小区;番禺小区;祈福新村小区;祈福新村倚湖湾倚湖街;2012年建成;板楼;1.2元/平米/月;番禺祈福物业管理有限公司;广州市番禺祈福新村房地产有限公司;14栋;128户;https://gz.lianjia.com/xiaoqu/2110343238599343/
440100;gz;广州;2111741892981610;北桥路;(番禺市桥)北桥路;17153;2月参考均价;113.361761;22.945566;链家网广州站;广州小区;番禺小区;市桥小区;北桥路;暂无信息;板楼;暂无信息;无物业管理服务;暂无信息;21栋;214户;https://gz.lianjia.com/xiaoqu/2111741892981610/
440100;gz;广州;2111103831495;信基城;(番禺大石)迎宾路信基花园;31924;2月参考均价;113.344544;23.013057;链家网广州站;广州小区;番禺小区;大石小区;信基城;2013年建成;塔楼/板楼;2.6元/平米/月;上海高力国际物业服务有限公司广州分公司;广州市信基置业房地产开发有限公司;18栋;583户;https://gz.lianjia.com/xiaoqu/2111103831495/
